[Fri May 06 2016 15:59:30 GMT+0530 (IST)] INFO Requests: 0, requests per second: 0, mean latency: 0 ms
[Fri May 06 2016 15:59:35 GMT+0530 (IST)] INFO Requests: 4723, requests per second: 944, mean latency: 20 ms
[Fri May 06 2016 15:59:40 GMT+0530 (IST)] INFO Requests: 8433, requests per second: 742, mean latency: 30 ms
[Fri May 06 2016 15:59:45 GMT+0530 (IST)] INFO Requests: 11620, requests per second: 637, mean latency: 30 ms
[Fri May 06 2016 15:59:50 GMT+0530 (IST)] INFO Requests: 14005, requests per second: 477, mean latency: 40 ms
[Fri May 06 2016 15:59:55 GMT+0530 (IST)] INFO Requests: 15452, requests per second: 289, mean latency: 70 ms
[Fri May 06 2016 16:00:00 GMT+0530 (IST)] INFO Requests: 16372, requests per second: 184, mean latency: 50 ms
[Fri May 06 2016 16:00:05 GMT+0530 (IST)] INFO Requests: 16372, requests per second: 0, mean latency: 0 ms
[Fri May 06 2016 16:00:10 GMT+0530 (IST)] INFO Requests: 16873, requests per second: 100, mean latency: 510 ms
[Fri May 06 2016 16:00:15 GMT+0530 (IST)] INFO Requests: 18844, requests per second: 381, mean latency: 50 ms
[Fri May 06 2016 16:00:20 GMT+0530 (IST)] INFO Requests: 21536, requests per second: 531, mean latency: 40 ms
[Fri May 06 2016 16:00:25 GMT+0530 (IST)] INFO Requests: 24494, requests per second: 611, mean latency: 30 ms
[Fri May 06 2016 16:00:30 GMT+0530 (IST)] INFO Requests: 27433, requests per second: 599, mean latency: 30 ms
[Fri May 06 2016 16:00:35 GMT+0530 (IST)] INFO Requests: 30214, requests per second: 556, mean latency: 40 ms
[Fri May 06 2016 16:00:40 GMT+0530 (IST)] INFO Requests: 32368, requests per second: 431, mean latency: 50 ms
[Fri May 06 2016 16:00:45 GMT+0530 (IST)] INFO Requests: 32737, requests per second: 74, mean latency: 60 ms
[Fri May 06 2016 16:00:50 GMT+0530 (IST)] INFO Requests: 34003, requests per second: 253, mean latency: 140 ms
[Fri May 06 2016 16:00:55 GMT+0530 (IST)] INFO Requests: 35628, requests per second: 318, mean latency: 60 ms
[Fri May 06 2016 16:01:00 GMT+0530 (IST)] INFO Requests: 37517, requests per second: 386, mean latency: 60 ms
[Fri May 06 2016 16:01:05 GMT+0530 (IST)] INFO Requests: 39565, requests per second: 410, mean latency: 50 ms
[Fri May 06 2016 16:01:10 GMT+0530 (IST)] INFO Requests: 41602, requests per second: 407, mean latency: 50 ms
[Fri May 06 2016 16:01:15 GMT+0530 (IST)] INFO Requests: 44127, requests per second: 505, mean latency: 40 ms
[Fri May 06 2016 16:01:20 GMT+0530 (IST)] INFO Requests: 46986, requests per second: 572, mean latency: 30 ms
[Fri May 06 2016 16:01:25 GMT+0530 (IST)] INFO Requests: 49056, requests per second: 414, mean latency: 50 ms
